Artist;Followers;Style;City;Country
sb_ink_official;1982;Realism;;
;;;Jammu;India
ash_tattoo_rochester;9975;Realism;;
;;;Rochester;United Kingdom
candybrainink;1428;Realism;;
;;;Northfield;United Kingdom
neira.artist;1863;Linework;;
;;;Ceske Budejovice;Czech Republic
;;;Prague;Czech Republic
;;;Frydek Mistek;Czech Republic
artist._afra;3202;Cartoon;;
;;;Brussels;Belgium
tattoosbynickaustin;1786;Neo-traditional;;
;;;Fogelsville;United States of America
teixeira_tattoo;2798;Linework;;
;;;Alvorada;Brazil
yafitisakov;1888;Patch;;
;;;Akko;Israel
;;;Berlin;Germany
;;;Amsterdam;The Netherlands
derbiq.tattoo;1618;Outline;;
;;;Leba;Poland
novakkart;1969;Abstract;;
;;;Mallorca;Spain
matheusstattoo;10849;Illustrative;;
;;;Barreiras;Brazil
alzeda.tattoo;2126;Abstract;;
;;;Caen;France
;;;Lyon;France
;;;Le Havre;France
;;;Lille;France
;;;Nantes;France
;;;Paris;France
brina.ttt;1231;Linework;;
;;;York;United Kingdom
;;;Lancaster;United Kingdom
;;;Seoul;South Korea
;;;Hanover;Germany
;;;Daegu;South Korea
;;;Gimpo;South Korea
fagnercamuflagemreparatoria;1307;Small;;
;;;Santa Cruz do Sul;Brazil
ellaholotova;1829;Aesthetic;;
;;;Cardiff;Wales
benzotattoo;3754;Realism;;
;;;Bangkok;Thailand
;;;Washington D.C.;United States of America
;;;New York;United States of America
;;;Las Vegas;United States of America
louisedowsettt;2096;Aesthetic;;
;;;Toulouse;France
_shrimpink_;3178;Linework;;
palittroche;1046;Small;;
;;;Guamuchil;Mexico
facu.tats;2337;Neo-traditional;;
;;;Denver;United States of America
;;;Mendoza;Argentina
;;;Cordoba;Argentina
toni.ti.red;1159;Blackwork;;
;;;Moscow;Russia
beyondflesh;2750;Abstract;;
_ghoul.ink;3774;Sketch;;
;;;Istanbul;Turkey
jack_deez;5873;Watercolor;;
tattooelpechu_07;1312;Realism;;
;;;Buenos Aires;Argentina
steveinktattoo;3803;Realism;;
;;;Milan;Italy
loonecreation;1999;Linework;;
;;;Dordogne;France
bieldovalle;1905;Old-School;;
;;;Liverpool;United Kingdom
;;;Bray;Ireland
blackbeetattoo_cz;3266;Sketch;;
;;;Rokycany;Czech Republic
_silvio.paladino_;3656;Small;;
;;;Campagna;Italy
_lurch_middlefingers_magoo_;1019;Abstract;;
;;;North Bay;Canada
cleovlamingart;2012;Linework;;
wil0tattoo;21271;Abstract;;
;;;San Sebastian;Spain
;;;Gijon;Spain
;;;Madrid;Spain
;;;Barcelona;Spain
;;;Padua;Italy
;;;Seville;Spain
;;;Malaga;Spain
;;;Bilbao;Spain
;;;Bordeaux;France
;;;Zurich;Switzerland
;;;San Jose;United States of America
;;;Panama;Panama
;;;Maldonado;Uruguay
;;;Los Angeles;United States of America
;;;Sidney;Australia
;;;Lisboa;Portugal
lanenafinaart;4686;Linework;;
cholostattooarte;10858;Linework;;
;;;Brasilia;Brazil
lpt.tattoo;1017;Linework;;
;;;Odesa;Ukraine
vampatattoo;9846;Realism;;
;;;Puebla;Mexico
mistrzowietattoo_plock;2389;New-school;;
;;;Plock;Poland
royal.inkcg;1622;Blackwork;;
;;;Campo Grande;Brazil
andreiatorres_astrea;1447;Linework;;
;;;Porto;Portugal
aliroma_art_tattoo;1047;Aesthetic;;
;;;Rome;Italy
spicygonz;3395;New-school;;
;;;Montreal;Canada
treve_azrael;2921;Aesthetic;;
;;;Penzance;United Kingdom
dude_skinz_integrity;3134;Anime;;
;;;Wakefield;United Kingdom
yenhua.ink;2713;Trash-Polka;;
gokchelito;8256;Aesthetic;;
;;;Ankara;Turkey
melmadetattoos;1581;Cartoon;;
;;;Stafford;United Kingdom
tattoo.sahar.ardebil;4211;Small;;
;;;Ardebil;Iran
xandertats;1034;Trash-Polka;;
